,Unnamed: 0,a01,aeu,totexp_m,hh_type,div,District,Upazila,Union,Village,lat1,long1,totexp_m_pc
0,1,1.0,2.8899999260902405,2684.16656303406,3,40,1,108,10817,1081701,22.873333333333303,89.84638888888891,-0.2663952586895457
1,2,2.0,2.8899999260902405,2262.69445800781,3,40,1,108,10817,1081701,22.8794444444444,89.84361111111109,-0.464860404027843
2,3,3.0,3.70999991893768,1435.7261505126999,3,40,1,108,10817,1081701,22.8972222222222,89.8425,-1.0036941469794594
3,4,4.0,3.4899999499321,5542.8869323730505,3,40,1,108,10817,1081701,22.8408333333333,89.87777777777781,0.6310130883149521
4,5,5.0,3.70999991893768,5038.60706710815,3,40,1,108,10817,1081701,22.9336111111111,89.8783333333333,0.3178730480158821
5,6,6.0,4.47999992966652,2770.46635055542,3,40,1,108,10817,1081701,22.9216666666667,89.88194444444441,-0.6887647726273559
6,7,7.0,3.33999994397163,7075.3718032836905,3,40,1,108,10817,1081701,22.884166666666697,89.8666666666667,1.3524795494001607
7,8,8.0,3.0,6347.14292144775,3,40,1,108,10817,1081701,22.9069444444444,89.87194444444441,1.3488589561668676
8,9,9.0,3.1399999260902405,3178.12484741211,3,40,1,108,10817,1081701,22.8794444444444,89.88888888888891,-0.152948152746045
9,10,10.1,4.6599999666214,4279.3848991394,3,40,1,108,10817,1081701,22.8747222222222,89.8858333333333,-0.2806222741795258
10,11,10.2,2.46999996900558,2749.00786590576,3,40,1,108,10817,1081701,22.872777777777802,89.8894444444445,-0.015750437519310278
11,12,11.0,5.299999892711639,6193.76002693176,3,40,1,108,10817,1081701,22.871666666666698,89.8772222222222,0.060015851681268044
12,13,12.0,3.4199999570846598,3620.93797206879,3,40,1,108,10817,1081701,22.8588888888889,89.87111111111109,-0.08951562518931537
13,14,13.0,3.55999997258186,2910.74286651611,3,40,1,108,10817,1081701,22.9602777777778,89.87805555555549,-0.417658823034129
14,15,14.0,7.699999898672099,5952.58319091797,3,40,1,108,10817,1081701,22.8725,89.8652777777778,-0.4783009540116493
15,16,15.0,2.70999997854233,3955.49202346802,3,40,1,108,10817,1081701,22.8608333333333,89.8472222222222,0.455967641503595
16,17,16.1,4.46999993920326,3460.45831298828,3,40,1,108,10817,1081701,22.8425,89.8366666666667,-0.4768189834025966
17,18,16.2,2.87999996542931,3331.90474319458,3,40,1,108,10817,1081701,22.8425,89.8366666666667,0.044063031032563295
18,19,17.0,2.74999994039536,3554.60327148438,3,40,1,108,10817,1081701,22.9105555555556,89.82777777777781,0.22869306839466208
19,20,18.1,4.43999999761581,4553.710334777829,3,40,1,108,10817,1081701,22.886111111111102,89.8025,-0.13461909014955098
20,21,18.2,2.09999996423721,5443.82930755615,3,40,1,108,10817,1081701,22.8980555555556,89.79861111111109,1.9974246642446598
21,22,19.0,2.09999996423721,1989.5238151550302,3,40,1,108,10817,1081701,22.8941666666667,89.8283333333333,-0.2410629600397216
22,23,20.0,2.7399999797344203,2800.50594329834,3,40,1,108,10817,1081701,22.86,89.81805555555559,-0.13942015797662174
23,24,21.0,,0.0,2,40,1,134,13473,1347301,22.913333333333302,89.63861111111109,
24,25,22.0,2.04999995231628,2267.82744216919,2,40,1,134,13473,1347301,22.913333333333302,89.63861111111109,-0.024870031699269483
25,26,23.0,4.3499999642372105,3205.18096923828,2,40,1,134,13473,1347301,22.9336111111111,89.8575,-0.5276178775193712
26,27,24.0,2.5799999833107,2076.34920883179,2,40,1,134,13473,1347301,22.921111111111102,89.86138888888891,-0.4351293812621662
27,28,25.0,2.31999999284744,2989.8958454132103,2,40,1,134,13473,1347301,22.9138888888889,89.6691666666667,0.22347441416496397
28,29,26.0,2.20999997854233,4095.5594902038597,2,40,1,134,13473,1347301,22.9172222222222,89.7041666666667,0.9916062277671842
29,30,27.0,2.7599999606609305,2150.72024154663,2,40,1,134,13473,1347301,22.9644444444444,89.7225,-0.46988579008568987
30,31,28.0,3.07999992370605,2763.8094825744606,2,40,1,134,13473,1347301,22.9622222222222,89.6961111111111,-0.3091760740998686
31,32,29.0,3.88999998569489,2855.17862129211,2,40,1,134,13473,1347301,22.9638888888889,89.72166666666669,-0.531488344759087
32,33,30.1,2.3199999630451202,1938.8094940185501,2,40,1,134,13473,1347301,22.91,89.6772222222222,-0.3930689740427009
33,34,30.2,2.1200000047683702,2392.10314655304,2,40,1,134,13473,1347301,22.91,89.6772222222222,0.0051957383610309864
34,35,31.0,2.36000001430511,2374.5237712860103,2,40,1,134,13473,1347301,22.9047222222222,89.7041666666667,-0.16109638071181182
35,36,32.0,4.1399999260902405,6062.17272949219,2,40,1,134,13473,1347301,22.8836111111111,89.7305555555556,0.462366118899132
36,37,33.0,2.27999997138977,3017.97613334656,2,40,1,134,13473,1347301,22.8955555555556,89.7627777777778,0.2710031701716826
37,38,34.0,3.84999996423721,8190.89289855957,2,40,1,134,13473,1347301,22.8580555555556,89.8347222222222,1.3649039799892808
38,39,35.0,2.46999996900558,2360.59524536133,2,40,1,134,13473,1347301,22.8702777777778,89.895,-0.22974839435809588
39,40,36.0,4.44999992847443,3865.3125152587895,2,40,1,134,13473,1347301,22.876666666666697,89.84194444444451,-0.3482751899897246
40,41,37.0,3.4899999499321,2798.8809509277303,2,40,1,134,13473,1347301,22.88,89.8833333333333,-0.43896005006245875
41,42,38.0,4.6399999260902405,3548.31332397461,2,40,1,134,13473,1347301,22.9025,89.71138888888892,-0.48965059030411856
42,43,39.0,2.30999997258186,7382.68364334106,2,40,1,134,13473,1347301,22.89,89.76222222222219,2.8189309118060897
