,a01,totexp_m,div,District,lat,long
3164,3061,28.66456204,60,58,24.48361111,91.98777778
6204,6007,53.44295154,10,42,22.68388889,90.41416667
650,630,89.39230016,20,13,23.13305556,90.69138889
4806,4654,65.78134834,30,86,23.49222222,90.35194444
3122,3020,109.210873,60,58,24.80694444,92.14666667
5545,5368,75.96566178,30,93,24.62805556,90.10694444
6694,6483,70.43877657,40,87,22.23722222,89.36166667
612,594,82.07818235,20,13,23.50722222,90.72416667
5004,4847,113.5779155,30,89,25.15194444,90.11972222
937,899,125.7651714,40,18,23.60638889,89.06916667
2002,1932,57.11546992,50,38,24.93861111,89.12916667
1569,1510,47.49430319,55,32,25.45333333,89.75694444
4162,4028,108.0312609,55,73,25.96361111,89.22583333
4107,3974,86.10220161,30,72,24.98666667,90.89361111
5525,5348,75.98781275,30,93,24.50416667,90.12583333
3584,3470,33.62524953,50,64,24.795,89.06
6911,7197,174.0102145,20,84,22.8525,92.32
4618,4470,80.15387317,30,82,23.75916667,89.62388889
6993,7279,197.4487334,20,3,22.29277778,92.27222222
1336,1291,72.36651,55,27,25.69305556,88.91416667
5427,5255.1,227.025757,60,91,25.1125,92.0825
134,130,54.47469302,10,4,22.29027778,90.27111111
6717,7003,103.7830008,20,46,23.49083333,92.28888889
203,197,60.84464244,10,6,22.72888889,90.38888889
4764,4612,63.44089226,30,86,23.30138889,90.79527778
6168,5971,107.4610821,40,41,22.96333333,89.32527778
6545,6338,201.4732799,10,79,22.63833333,90.26166667
2700,2612,72.80431024,40,50,23.96333333,89.29888889
4953,4797,60.9319193,50,88,24.63111111,89.52944444
3768,3643,140.5247726,30,67,23.93833333,90.60694444
2779,2688,60.98920734,20,51,23.26638889,90.93861111
6522,6316,107.2347262,10,78,22.33361111,90.23194444
5250,5085,78.19794005,60,91,24.9,91.92277778
3187,3083,109.6978509,60,58,24.53472222,91.92666667
1917,1847,51.54236921,60,36,24.5725,91.40166667
128,124,44.73876953,10,4,22.44416667,90.27666667
1671,1610,274.946231,30,33,24.14638889,90.39666667
7049,7335,36.45493772,20,46,23.07027778,92.13388889
4332,4191,67.41116622,50,76,24.26472222,89.17277778
39,36,114.563092,40,1,22.87666667,89.84194444
1003,964,83.74151995,20,19,23.80694444,90.94694444
2076,2006,60.26817197,30,39,24.88972222,90.01944444
6688,6477,100.0638403,40,87,22.92861111,89.23388889
4160,4026,25.78040875,55,73,25.99694444,89.21666667
4517,4371,33.54194788,10,79,22.66916667,90.0475
4080,3948.1,116.1294072,30,72,24.95888889,91.03388889
5068,4908,87.9925586,60,90,24.91527778,91.84305556
3227,3120,115.1011018,60,58,24.40777778,91.74111111
939,901,82.43140721,20,19,23.55138889,91.05194444
665,645,160.0637479,20,13,23.63638889,91.01194444
2759,2668,38.11441268,20,51,23.20944444,91.00472222
5835,5646.1,124.1044702,10,6,22.85194444,90.35
5902,5711,127.9647002,10,9,22.58944444,90.98694444
6281,6078,50.12787613,40,44,23.42916667,88.80111111
4827,4674,142.2166594,40,87,23.08972222,89.08194444
4796,4644,214.942212,30,86,23.45555556,90.32416667
2356,2276,106.791837,20,46,23.3175,91.97722222
5128,4964,99.74225717,60,90,25.12666667,91.18333333
5957,5763,223.0875158,30,29,23.41888889,89.74805556
3924,3796,56.45616583,50,69,24.37694444,89.37138889
6622,6412,136.4556161,30,86,23.49555556,90.43944444
1879,1810,324.6907987,60,36,24.28888889,91.665
3121,3019,226.3087738,60,58,24.80194444,92.15583333
350,339,124.8425557,10,9,22.81444444,90.81722222
6046,5851,103.113732,30,35,23.0425,89.93416667
7277,7563,71.22299465,50,81,24.69944444,88.63083333
6369,6166,59.22904289,30,54,23.46888889,90.42027778
5975,5781,37.35699023,30,29,23.50444444,89.81638889
581,567,116.2965437,20,12,24.39972222,91.45916667
492,479,74.06464105,50,10,25.10305556,89.33111111
4688,4538,108.7627467,55,85,25.94611111,89.38194444
1941,1871,108.0510244,60,36,24.42833333,91.59416667
6059,5864,13.79963709,30,35,23.19,90.09638889
393,382,104.6110054,50,10,24.905,89.59805556
6112,5916,355.8157958,40,41,23.20055556,89.62361111
5741,5553,56.86815979,40,1,22.47333333,89.99055556
6144,5947,56.70108254,40,41,23.33027778,89.62333333
3659,3539,84.10002337,50,64,24.97583333,88.66638889
2877,2780,112.7220785,30,54,23.22888889,90.51972222
598,582.1,150.348835,20,13,23.49277778,90.73166667
6024,5830,106.1789202,30,29,23.65777778,90.13333333
6134,5937,129.9828266,40,41,23.315,89.1325
4629,4480,92.66889129,30,82,23.70055556,89.57861111
2966,2868,90.0258276,30,56,24.16833333,90.07722222
6226,6029,47.28230785,40,44,23.71027778,89.04305556
2121,2051,83.66244824,30,39,24.95805556,90.05111111
675,655.1,164.9799379,20,13,23.66666667,90.99083333
1241,1199,63.81838307,30,26,24.035,90.25944444
4505,4359,77.39535662,10,79,22.30916667,90.02888889
3027,2928,142.477637,30,56,23.92222222,90.24916667
2811,2720,44.73612729,20,51,22.75694444,90.96111111
1369,1317,30.7888728,55,27,26.01416667,88.66388889
6377,6174,70.85658821,30,54,23.4425,90.40194444
1908,1839,153.3644604,60,36,24.47861111,91.71805556
5724,5537,105.3649088,40,1,23.00055556,89.71916667
7116,7402,91.74767957,55,27,25.60305556,88.73833333
5301,5135,224.4108397,60,91,24.81916667,91.90833333
5943,5749,69.43840428,40,18,23.67111111,88.93638889
2663,2575,84.68258401,55,49,25.85222222,89.68611111
1894,1825,110.7749252,60,36,24.48583333,91.67333333
478,466,79.7031224,50,10,25.10638889,89.33944444
4704,4553,19.29049511,55,85,25.72333333,89.32555556
6212,6015,53.45718765,10,42,22.70888889,90.34722222
1881,1812,174.4834716,60,36,24.2725,91.69527778
179,173,12.12391028,10,6,22.93361111,90.37
130,126,154.3247311,10,4,22.21611111,90.29083333
4284,4148,127.3698051,20,75,23.03361111,91.12666667
1302,1259,93.69782464,55,27,25.42944444,89.0325
3840,3714,52.22509801,30,68,24.02166667,90.69083333
7108,7394,85.85737969,20,84,22.775,92.20055556
4754,4603,199.0100012,30,86,23.26861111,90.62611111
1602,1542,48.59528203,55,32,25.49916667,89.70722222
721,698,181.2808064,20,13,23.33777778,91.03444444
3881,3755,79.01775135,30,68,24.15666667,90.88583333
4396,4251,37.19970881,55,77,26.1825,88.73527778
2136,2066,42.48263112,30,39,25.00638889,90.02916667
1909,1840,106.7145603,60,36,24.50861111,91.75611111
3901,3775,88.25704329,30,68,24.16388889,90.83388889
4278,4142,90.51086233,20,75,22.9525,91.11305556
3971,3840,41.59397939,50,69,24.60138889,89.19083333
6926,7212,122.1749001,20,3,22.35944444,92.22361111
2348,2268,114.5620256,20,46,23.31,91.97472222
51,48,76.12266771,40,1,22.71611111,90.17638889
1197,1155,122.3339323,20,22,21.83638889,91.97361111
4403,4258,39.81164323,55,77,26.19305556,88.69166667
7312,7598,73.79313605,50,81,24.69,88.66055556
2011,1941,102.5274746,50,38,25.03722222,89.16027778
4987,4831,60.49714638,30,89,25.07972222,90.095
1064,1024,71.77920398,20,19,23.64555556,91.15861111
5321,5155,108.3387916,60,91,24.91055556,92.03972222
3162,3059,101.6850028,60,58,24.56222222,92.07055556
3814,3688,133.2146063,30,68,24.24083333,90.75277778
5987,5793,104.5654593,30,29,23.50972222,89.76277778
1114,1073,114.1244445,20,19,23.8925,91.15277778
2515,2430,131.5987165,30,48,24.40611111,90.8725
2318,2238,21.41578339,40,44,23.50277778,89.18583333
5600,5422,35.90278061,30,93,24.25777778,89.92
118,114,59.31471427,10,4,22.16861111,90.40861111
6602,6393,161.1091153,30,86,23.49583333,90.57388889
5860,5670,64.25669281,10,6,23.06388889,90.26027778
3321,3210,150.856074,30,61,24.59833333,90.36555556
2119,2049,109.0606208,30,39,24.97861111,90.06111111
5974,5780,49.77814661,30,29,23.38944444,89.75527778
883,846,119.7481507,20,15,22.24222222,92.18166667
2512,2427,124.3569996,30,48,24.39416667,90.87361111
6949,7235,70.66962305,20,3,22.58194444,92.50555556
1275,1233,156.2509479,30,26,23.71777778,90.31027778
724,701,91.04860561,20,15,22.06083333,92.05666667
3021,2922,119.2910668,30,56,23.94333333,90.28777778
4721,4570,106.8877515,55,85,25.7075,89.63611111
1115,1074,78.81213648,20,19,23.96333333,91.23944444
1834,1770,105.344695,60,36,24.45083333,91.71305556
1481,1423,51.2353954,30,29,23.5175,90.27583333
404,393,120.7303531,50,10,24.90888889,89.5575
2398,2317,113.855564,40,47,22.95361111,89.47472222
1723,1662,91.60594056,30,33,24.34916667,90.575
2254,2178.3,56.35162554,10,42,22.66333333,90.1925
3589,3474.2,80.16630829,50,64,24.81083333,89.0675
5898,5707,116.4981952,10,9,22.84333333,90.99972222
7094,7380,73.93073397,20,84,22.63444444,92.0075
3774,3648,38.50981859,30,67,23.95138889,90.62
5501,5324,81.11770433,30,93,24.67472222,90.14055556
2580,2495,107.6683853,30,48,24.55611111,90.92722222
4749,4598,58.57046748,55,85,25.4625,89.26416667
4491,4345,113.4022006,10,79,22.36444444,89.97222222
6151,5954,85.81080872,40,41,23.13583333,89.49833333
3891,3765,106.6328405,30,68,24.21888889,90.89444444
5681,5495,41.35937394,55,94,26.16444444,88.27722222
4908,4754,48.55837953,50,88,24.58611111,89.8175
4020,3889,87.86337912,30,72,25.14277778,90.99055556
4759,4608,98.15535495,30,86,23.28222222,90.62
6942,7228,51.36048118,20,3,22.24222222,92.51388889
277,269,55.66512888,10,6,22.86055556,90.29583333
1431,1377,54.79008527,30,29,23.35777778,89.72777778
4515,4369,44.84204203,10,79,22.69972222,90.17333333
3907,3781,197.3442168,50,69,24.47777778,89.2175
2341,2261,115.6691716,20,46,23.29416667,91.97027778
1378,1326,95.13269733,55,27,25.54416667,89.1975
1899,1830,108.3568015,60,36,24.45777778,91.69777778
373,362,101.0482821,50,10,25.07305556,89.11944444
2672,2584,77.09212105,40,50,24.20694444,89.01666667
7191,7477,41.53861972,55,27,26.08277778,88.6425
6610,6401,76.49594043,30,86,23.46111111,90.50083333
5849,5659,52.91582463,10,6,22.88388889,90.485
6740,7026,98.07758661,20,46,23.28972222,92.34666667
1053,1013,238.994252,20,19,23.81138889,90.94361111
4691,4541,60.39469737,55,85,25.70611111,89.37
2095,2025,69.08558227,30,39,24.85583333,90.01583333
568,554,178.5886598,20,12,23.91222222,91.0825
1792,1729,84.8713857,30,35,23.42916667,90
1755,1693,41.28819933,30,35,23.36388889,89.86694444
6493,6287,96.55001037,10,78,22.2475,90.66277778
4164,4030,111.7810145,55,73,25.97527778,89.22527778
495,482,92.68821637,20,12,24.00194444,90.98305556
4273,4137,66.23346763,20,75,23.1175,91.335
1851,1785,38.67219788,60,36,24.62722222,91.46916667
3740,3618,70.91984794,30,67,23.82388889,90.71083333
5894,5703,72.128033,10,9,22.78472222,90.57333333
4842,4689,96.11427772,40,87,22.5175,89.28805556
4448,4302,88.22515868,10,78,22.51194444,90.44527778
1808,1744,113.8371157,60,36,24.72805556,91.48638889
4630,4481,146.511141,20,84,23.5225,92.21277778
1932,1862,62.92740309,60,36,24.35777778,91.59138889
6515,6309,75.78539109,10,78,22.40638889,90.31472222
2022,1952,45.01818644,50,38,25.02833333,89.22555556
7037,7323,125.8449955,20,46,22.965,92.05194444
774,747,80.42539594,20,15,22.78861111,92.05916667
7064,7350,85.93865524,20,84,22.535,92.20055556
3692,3572,135.9626784,40,65,23.1625,89.78388889
447,436,88.85662446,50,10,24.90777778,89.24611111
6895,7181,80.10527609,20,84,22.85666667,92.31833333
6171,5974,157.3132351,40,41,22.97805556,89.27138889
7172,7458,79.58185779,55,27,26.02194444,88.88527778
4609,4461,70.06334148,30,82,23.87111111,89.51694444
504,491,69.28638661,20,12,23.93166667,91.01944444
410,399,12.92757934,50,10,24.82638889,89.53027778
3850,3724,88.44947657,30,68,24.13666667,90.79361111
2371,2291,123.6317462,40,47,22.73666667,89.69722222
1433,1379,28.40062831,30,29,23.34305556,89.7475
3061,2961.1,127.6051185,60,58,24.81138889,92.20555556
2870,2773,182.5693072,30,54,23.31722222,90.54305556
5531,5354,134.8199628,30,93,24.55583333,90.12444444
6436,6230,44.9121858,40,57,23.92916667,88.81638889
812,779.2,84.55868901,20,15,22.22277778,92.28055556
3073,2972,176.8119607,60,58,24.80805556,92.26527778
2184,2112,96.9980419,40,41,23.03,89.20888889
6988,7274,151.0645621,20,3,22.28722222,92.26777778
2513,2428,101.2333219,30,48,24.43388889,90.87722222
523,510,64.41586705,20,12,24.16361111,91.2
96,93,106.173221,20,3,21.71611111,92.54472222
6971,7257,132.2850946,20,3,22.23194444,92.4875
4270,4134,119.3437813,20,75,23.09611111,91.33555556
3846,3720,87.81683185,30,68,24.03972222,90.92222222
1187,1145,94.28565792,20,22,21.85416667,92.03027778
6523,6317,56.79305738,10,78,22.46722222,90.23722222
1075,1035,104.2867681,20,19,23.63555556,91.14555556
1814,1750,42.25562063,60,36,24.72166667,91.47666667
4666,4516,37.32184429,55,85,25.8125,89.2625
1773,1710,77.89479926,30,35,23.0075,90.12694444
4136,4003,86.52822434,55,73,26.39583333,88.98194444
2400,2319,61.23032064,40,47,22.71722222,89.48861111
876,840,219.7793125,20,15,22.53277778,92.03666667
6183,5986,156.132284,40,41,23.10333333,89.00888889
3378,3266,102.7211875,30,61,24.44833333,90.80916667
1819,1755,81.18457197,60,36,24.71555556,91.465
5462,5286,159.2488715,30,93,24.61361111,89.91777778
4700,4549,98.14480377,55,85,25.70305556,89.45027778
6999,7285,257.3635562,20,3,22.24638889,92.38888889
3634,3517.2,108.5176108,50,64,25.16222222,88.84777778
4945,4790.1,73.1235829,50,88,24.59694444,89.47027778
2991,2892,153.5602587,30,56,23.875,90.06222222
2138,2068,91.84505146,30,39,25.02555556,90.035
7073,7359,102.4729236,20,84,22.57861111,92.24694444
778,751.1,66.17323522,20,15,22.83638889,92.00527778
4921,4767,84.16854981,50,88,24.30694444,89.61
4300,4163,85.88857708,50,76,24.06472222,89.78611111
6656,6446,71.45022138,40,87,23.02055556,89.10361111
6356,6153,96.20469447,30,54,23.26666667,90.49
289,281,111.220741,10,9,22.75027778,90.80916667
1816,1752,144.1646776,60,36,24.71916667,91.47166667
5862,5672,85.92811591,10,6,23.06555556,90.28666667
6768,7054,276.1158311,20,46,23.15611111,92.18861111
1426,1372,61.5756484,30,29,23.53777778,89.75722222
4741,4590,80.09764558,55,85,25.55444444,89.45777778
37,34,244.1454118,40,1,22.85805556,89.83472222
4659,4509.2,61.26405956,55,85,25.80777778,89.22222222
5268,5102,138.1602046,60,91,25.03361111,91.37027778
4712,4561,44.91186588,55,85,25.86666667,89.64416667
4996,4840.1,115.1261261,30,89,25.10972222,90.14638889
6525,6319.1,40.98466162,10,78,22.29583333,90.20694444
6762,7048,131.0991198,20,46,23.16361111,92.145
123,119,58.16208141,10,4,22.3,90.26611111
6269,6066,27.96304726,40,44,23.44083333,88.81861111
29,27,89.78666339,40,1,22.96444444,89.7225
7284,7570,54.95339467,50,81,24.69305556,88.63805556
157,151,61.64930529,10,4,22.26166667,90.07722222
3668,3548,52.8287018,50,64,24.83777778,89.00916667
1762,1700,272.746015,30,35,23.30694444,89.85416667
6454,6248,171.4602868,40,65,23.3225,89.62694444
7289,7575,109.5008441,50,81,24.7225,88.63944444
770,744,48.49950675,20,15,22.87083333,91.98361111
3239,3130.2,80.46361955,30,59,23.67222222,90.64333333
5933,5740.2,57.96023441,40,18,23.65444444,88.94055556
5837,5647,157.9854186,10,6,22.85861111,90.34722222
5596,5418,56.12907308,30,93,24.27111111,90.28805556
2349,2269,25.15303369,20,46,23.33222222,91.99583333
4850,4696,59.30549012,40,87,22.52083333,89.20555556
6232,6033.3,73.44517197,40,44,23.73666667,89.03694444
2112,2042,81.53962151,30,39,24.95805556,90.05972222
2689,2601,57.53802694,40,50,23.98194444,89.255
2125,2055,28.13207066,30,39,24.9525,90.04833333
5639,5456,173.8928421,30,93,24.53555556,90.40777778
2202,2130,41.91293806,40,41,23.35111111,89.365
4812,4660,147.7497,30,86,23.44638889,90.36166667
5992,5798,106.5721993,30,29,23.485,89.78916667
211,205,81.73757033,10,6,23.04527778,90.61722222
1043,1004,128.5567279,20,19,23.79555556,90.94166667
7139,7425,96.32857761,55,27,25.55694444,89.03805556
1394,1342,45.18161728,30,29,23.45194444,90.11583333
4818,4666,121.4322293,40,87,23.09444444,89.11194444
3308,3197,102.1381648,30,59,23.66916667,90.70305556
6280,6077,88.97668051,40,44,23.4375,88.80222222
1513,1454,200.9234807,20,30,23.04027778,91.34416667
2010,1940,107.5101116,50,38,24.94944444,89.07888889
3975,3844,71.18187405,50,70,24.80444444,88.55388889
2373,2293,117.6892413,40,47,22.83555556,89.70611111
3029,2930,103.3008926,30,56,23.90888889,90.28305556
5159,4994,76.62950389,60,90,25.15833333,91.86694444
5606,5428,81.89278121,30,93,24.22916667,90.12027778
1102,1061,110.6027057,20,19,23.91805556,91.22277778
7075,7361,98.71946731,20,84,22.77277778,92.07194444
383,372,89.37735906,50,10,25.03805556,89.13111111
5423,5251,165.2608566,60,91,25.15166667,92.005
3296,3185,82.37715241,30,59,23.70638889,90.6725
6862,7148,209.3700473,20,84,23.31861111,92.24111111
6775,7061,104.7814002,20,46,23.2725,92
6125,5928,57.04377399,40,41,23.27416667,89.12333333
4072,3940,89.88910648,30,72,24.81611111,90.77111111
4475,4329,138.0780819,10,79,22.65833333,90.10138889
4819,4667.1,38.88307945,40,87,23.04472222,89.07833333
