a01,aeu,totexp_m,hh_type,div,District,lat1,long1,totexp_m_pc
71,3.419999957,2627.035645,3,40,1,22.41611111,89.86,768.139087
72,5.179999918,4499.327248,3,40,1,22.42888889,89.91916667,868.5960075
73,NA,0,3,40,1,22.4175,89.89333333,NA
74,3.319999933,2533.779755,3,40,1,22.39777778,90.04055556,763.1866884
75,3.759999931,1982.321411,3,40,1,22.43472222,90.03694444,527.213151
76,3.98999995,1958.297634,3,40,1,22.48222222,90.06611111,490.8014182
77,4.719999909,2996.319359,3,40,1,22.50638889,90.065,634.8134357
78,2.789999962,1693.392822,3,40,1,22.39583333,90.05333333,606.9508407
79,1.669999987,1730.984081,3,40,1,22.39472222,90.05222222,1036.517422
80,5.109999895,4660.436493,3,40,1,22.38555556,90.04833333,912.0228158
81,4.23999995,5306.468231,3,20,3,21.70083333,92.36805556,1251.525541
82,4.039999902,3379.964233,3,20,3,21.69944444,92.34416667,836.6248305
83,4.689999938,3710.238174,3,20,3,21.70722222,92.54638889,791.09557
84,2.279999971,1869.7024,3,20,3,21.73611111,92.35555556,820.0449227
85,2.289999992,3031.160721,3,20,3,21.70277778,92.31277778,1323.650975
86,3.720000029,3753.331394,3,20,3,21.70194444,92.32666667,1008.960044
87,2.339999974,1867.390962,3,20,3,21.71166667,92.37361111,798.0303346
88,NA,0,3,20,3,21.69611111,92.34972222,NA
89,3.089999974,2144.66658,3,20,3,21.69555556,92.33972222,694.0668603
90,4.759999931,4311.617054,3,20,3,21.71138889,92.36972222,905.8019153
91,3.909999967,2107.549648,3,20,3,21.70777778,92.38888889,539.0152599
92,3.729999959,3129.821421,3,20,3,21.72055556,92.55027778,839.0942238
93,4.569999933,3477.658907,3,20,3,21.71611111,92.54472222,760.9757019
94,2.899999976,3142.79747,3,20,3,21.72916667,92.36194444,1083.723274
95,3.219999969,3760.857004,3,20,3,21.72972222,92.35611111,1167.968025
96,3.079999983,2111.428593,3,20,3,21.70361111,92.55416667,685.5287676
97,1.599999964,2861.874935,3,20,3,21.7075,92.55305556,1788.671874
98,2.439999938,3067.619068,3,20,3,21.71555556,92.37333333,1257.220962
99,3.659999907,2984.666656,3,20,3,21.7175,92.33777778,815.4827137
100.1,4.769999951,5536.766102,3,20,3,21.71611111,92.31916667,1160.747622
100.2,2.799999923,3566.116129,3,20,3,21.71611111,92.31916667,1273.612938
101,2.959999949,2222.291672,3,10,4,22.09638889,90.44916667,750.7742264
102,2.969999909,2938.184601,3,10,4,22.09527778,90.42888889,989.2877746
103,3.039999992,2370.833344,3,10,4,22.12583333,90.40388889,779.8793915
104,2.429999948,6254.940457,3,10,4,22.15861111,90.38972222,2574.049626
105,2.569999933,3082.85726,3,10,4,22.21055556,90.36833333,1199.555385
106,3.139999926,2798.928589,3,10,4,22.22333333,90.365,891.3785525
107,2.669999957,3122.242058,3,10,4,22.24694444,90.35027778,1169.379067
108,3.870000005,3725.52597,3,10,4,22.32083333,90.33555556,962.6682082
109,2.849999934,2487.589264,3,10,4,22.13916667,90.27916667,872.8383583
110,2.309999973,1697.857071,3,10,4,22.13583333,90.29666667,735.0030697
111,3.479999959,3709.791504,3,10,4,22.34194444,90.33555556,1066.032054
112,3.029999912,2368.541672,3,10,4,22.13722222,90.30861111,781.6969441
113,3.529999912,4663.928574,3,10,4,22.13555556,90.33055556,1321.226258
114,3.159999967,2823.333363,3,10,4,22.16861111,90.40861111,893.4599343
115,NA,0,3,10,4,22.15333333,90.42527778,NA
116,3.429999977,3747.619045,3,10,4,22.12527778,90.46611111,1092.600312
117,3.73999995,4510.744049,3,10,4,22.21138889,90.24472222,1206.081313
118,2.779999971,3611.378967,3,10,4,22.26916667,90.24722222,1299.057196
119,3.519999951,1946.419632,3,10,4,22.3,90.26611111,552.9601304
120,2.959999949,2895.684509,3,10,4,22.12666667,90.30972222,978.2718106
121,3.719999969,3005.023773,2,10,4,22.3975,90.2625,807.8020963
122,3.839999974,4147.63105,2,10,4,22.41111111,90.27055556,1080.11226
123,3.569999933,3614.553467,2,10,4,22.4325,90.27611111,1012.479982
124,2.409999967,1606.561508,2,10,4,22.44416667,90.27666667,666.6230417
125,NA,0,2,10,4,22.19138889,90.27472222,NA
126,6.029999912,4406.056549,2,10,4,22.21611111,90.29083333,730.6893223
127,2.959999949,3951.726067,2,10,4,22.23472222,90.275,1335.042613
128,3.689999938,3578.643076,2,10,4,22.26027778,90.27111111,969.8219881
129,4.059999943,3687.809479,2,10,4,22.26916667,90.27861111,908.3274706
130,1.859999955,1631.041641,2,10,4,22.29027778,90.27111111,876.9041295
131,2.539999962,4024.196519,2,10,4,22.32138889,90.26194444,1584.329362
132,3.99999994,2337.845222,2,10,4,22.3525,90.25055556,584.4613143
133,NA,0,2,10,4,22.37138889,90.235,NA
134,4.199999928,2874.916664,2,10,4,22.38611111,90.22,684.5039793
135,2.349999964,2766.190465,2,10,4,22.39888889,90.27111111,1177.102343
136,3.449999928,3368.258821,2,10,4,22.41472222,90.25,976.3069247
137,5.580000013,5249.925537,2,10,4,22.41,90.22861111,940.8468682
138,NA,0,2,10,4,22.38194444,90.2675,NA
139,0.829999983,2285.50596,2,10,4,22.35777778,90.26888889,2753.621694
